iter	Logloss
0	0.6873270956
1	0.681946058
2	0.676048836
3	0.6696578894
4	0.6640861597
5	0.6576405214
6	0.6532409325
7	0.6474239049
8	0.6414712199
9	0.636895169
10	0.6315981404
11	0.6268923899
12	0.6233846257
13	0.6184787536
14	0.6139562371
15	0.6096596021
16	0.6050633205
17	0.6014122266
18	0.5970919748
19	0.593017321
20	0.5887500463
21	0.5847553725
22	0.5808878266
23	0.5773308572
24	0.5740823639
25	0.5720528163
26	0.5686403767
27	0.564528476
28	0.5606602444
29	0.5575552094
30	0.5558073922
31	0.5525866734
32	0.5498755809
33	0.5461957696
34	0.5444795844
35	0.5416543939
36	0.5390058367
37	0.5367810539
38	0.5350543247
39	0.5321964735
40	0.5291550454
41	0.5260827568
42	0.5236510373
43	0.5216327624
44	0.5195510521
45	0.5168881363
46	0.5150557957
47	0.5124412279
48	0.5112723876
49	0.5095496874
50	0.5073668233
51	0.5062691335
52	0.5041424183
53	0.501849871
54	0.5000383613
55	0.4981924336
56	0.4972076416
57	0.4951341608
58	0.4934978699
59	0.491890468
60	0.4896143367
61	0.4878886362
62	0.4857911956
63	0.4844833545
64	0.4829252865
65	0.481602058
66	0.4801832049
67	0.4794091214
68	0.4774262932
69	0.4758303353
70	0.474031084
71	0.4722533494
72	0.4706094292
73	0.468645503
74	0.467462604
75	0.4666857773
76	0.4650457146
77	0.4637992516
78	0.4631618543
79	0.461823667
80	0.460886966
81	0.4596107569
82	0.4590523966
83	0.4578325079
84	0.4561542125
85	0.4556295845
86	0.4542012161
87	0.4526818951
88	0.4511759897
89	0.4497328769
90	0.4488491101
91	0.4477234315
92	0.4464548518
93	0.4458766894
94	0.4445944797
95	0.4436244322
96	0.4422943458
97	0.4415554518
98	0.4405480288
99	0.4394127492
100	0.4380846774
101	0.4374224202
102	0.4367534766
103	0.4361543977
104	0.4350867539
105	0.4338150882
106	0.4327336858
107	0.4317530943
108	0.430715068
109	0.4298688481
110	0.4288090909
111	0.4278694324
112	0.4268797114
113	0.4261430033
114	0.4250943473
115	0.4241683188
116	0.4232970248
117	0.4226359678
118	0.4220809937
119	0.4214325808
120	0.4207773101
121	0.420161558
122	0.4198229929
123	0.4192752195
124	0.4189529419
125	0.4180269134
