iter	RMSE
0	1.374650155
1	1.360692244
2	1.347815467
3	1.336089138
4	1.324360708
5	1.31446743
6	1.304380304
7	1.296190024
8	1.286297483
9	1.277236901
10	1.268609277
11	1.261729335
12	1.255566954
13	1.249279855
14	1.242867595
15	1.238190469
16	1.232680571
17	1.22764703
18	1.223424929
19	1.217930432
20	1.213845533
21	1.210218668
22	1.206382069
23	1.202814505
24	1.199447144
25	1.196023637
26	1.193734164
27	1.190508834
28	1.187920152
29	1.185474048
30	1.18269346
31	1.179809993
32	1.176912613
33	1.174756092
34	1.17231831
35	1.170160261
36	1.168387388
37	1.16553499
38	1.163601221
39	1.161928885
40	1.159423899
41	1.158192525
42	1.156540636
43	1.155257802
44	1.153209339
45	1.15189084
46	1.15009603
47	1.149155304
48	1.147872064
49	1.146611113
50	1.145011413
51	1.143845899
52	1.142476101
53	1.141773016
54	1.141066383
55	1.139368875
56	1.137890435
57	1.136820067
58	1.136008183
59	1.135212369
60	1.133798702
61	1.13238871
62	1.130907284
63	1.12973571
64	1.129097101
65	1.128556531
66	1.127455998
67	1.126959808
68	1.12598888
69	1.12462733
70	1.123218652
71	1.12268124
72	1.121928786
73	1.121050744
74	1.120666927
75	1.120069376
76	1.119050525
77	1.118110355
78	1.117446974
79	1.116644781
80	1.116046609
81	1.115012599
82	1.114428864
83	1.114073931
84	1.113258233
85	1.112775279
86	1.112408073
87	1.111868641
88	1.111077121
89	1.110239265
90	1.109714977
91	1.108987358
92	1.10859546
93	1.108174737
94	1.107558954
95	1.106914311
96	1.106354567
97	1.105867533
98	1.105097306
99	1.104665042
100	1.104256499
101	1.103371882
102	1.10294595
103	1.102284038
104	1.10180818
105	1.101214223
106	1.100284249
107	1.099735379
108	1.099182286
109	1.09863226
110	1.09819349
111	1.097526491
112	1.096575552
113	1.095842917
114	1.095379275
115	1.094956477
116	1.094467733
117	1.093994604
118	1.09358065
119	1.093162797
120	1.092719502
121	1.092294381
122	1.091781315
123	1.09131887
124	1.090650622
125	1.090302267
126	1.089630902
127	1.089059896
128	1.088816454
129	1.088200186
130	1.08765177
131	1.086995423
132	1.086538903
133	1.086016476
134	1.085665362
135	1.085371876
136	1.084890558
137	1.084506265
138	1.083990784
139	1.083499289
140	1.082795023
141	1.082186297
142	1.081567672
143	1.081142541
144	1.080575235
145	1.080241614
146	1.079792252
147	1.079225791
148	1.078647259
149	1.078201245
150	1.07749748
151	1.077029681
152	1.076535924
153	1.076182294
154	1.075722224
155	1.075550229
156	1.075133285
157	1.07445165
158	1.073828846
159	1.073367692
160	1.072755093
161	1.071982066
162	1.071627814
163	1.071196026
164	1.070891027
165	1.070331736
166	1.069776121
167	1.069293245
168	1.068722577
169	1.068207513
170	1.067806741
171	1.067308988
172	1.066974786
173	1.066589823
174	1.065870361
175	1.065509274
176	1.065077072
177	1.064810626
178	1.064357717
179	1.063885788
180	1.063240509
181	1.062888535
182	1.062502124
183	1.061941374
184	1.06138612
185	1.060692276
186	1.060263532
187	1.059815205
188	1.059575306
189	1.058796063
190	1.058245924
