iter	Passed	Remaining
0	0	763
1	1	640
2	1	594
3	2	562
4	2	553
5	3	547
6	3	539
7	4	528
8	4	520
9	5	517
10	5	516
11	6	514
12	6	512
13	7	515
14	7	511
15	8	517
16	8	515
17	9	510
18	9	513
19	10	519
20	11	516
21	11	514
22	12	511
23	12	509
24	13	507
25	13	505
26	14	505
27	14	504
28	14	501
29	15	503
30	16	501
31	16	498
32	16	496
33	17	494
34	17	493
35	18	491
36	18	490
37	19	489
38	19	488
39	20	486
40	20	484
41	21	482
42	21	481
43	22	480
44	22	480
45	23	479
46	23	474
47	23	472
48	24	472
49	24	472
50	25	470
51	25	469
52	26	468
53	26	467
54	27	465
55	27	464
56	28	465
57	28	464
58	29	465
59	29	465
60	30	465
61	30	465
62	31	465
63	31	465
64	32	464
65	32	464
66	33	462
67	33	462
68	34	461
69	34	460
70	35	458
71	35	459
72	36	458
73	36	459
74	37	459
75	37	458
76	38	457
77	38	456
78	39	456
79	39	455
80	40	455
81	40	454
82	41	453
83	41	452
84	41	451
85	42	450
86	42	449
87	43	448
88	43	448
89	44	447
90	44	447
91	45	446
92	45	446
93	46	445
94	46	444
95	47	444
96	47	443
97	48	442
98	48	442
99	49	441
100	49	441
101	50	440
102	50	439
103	50	439
104	51	438
105	51	438
106	52	437
107	52	436
108	53	435
109	53	435
110	54	434
111	54	433
112	55	433
113	55	432
114	56	431
115	56	430
116	56	429
117	57	429
118	57	428
119	58	427
120	58	426
121	59	426
122	59	426
123	60	425
124	60	424
125	61	423
126	61	423
127	62	422
128	62	422
129	63	421
130	63	421
131	63	420
132	64	419
133	64	419
134	65	418
135	65	418
136	66	418
137	66	417
138	67	417
139	67	417
140	68	417
141	69	422
142	70	422
143	71	422
144	71	421
145	72	421
146	72	421
147	73	420
148	73	420
149	74	419
150	74	418
151	75	418
152	75	418
153	76	417
154	76	417
155	77	416
156	77	417
157	78	416
158	78	416
159	79	415
160	79	414
161	80	413
162	80	413
163	80	412
164	81	412
165	82	412
